2023-03-22 11:17:44,203 INFO    MainThread:13353 [wandb_setup.py:_flush():76] Configure stats pid to 13353
2023-03-22 11:17:44,204 INFO    MainThread:13353 [wandb_setup.py:_flush():76] Loading settings from /home/seuyon0101/.config/wandb/settings
2023-03-22 11:17:44,204 INFO    MainThread:13353 [wandb_setup.py:_flush():76] Loading settings from /home/seuyon0101/aiffel/saturi/notebook/Model/wandb/settings
2023-03-22 11:17:44,204 INFO    MainThread:13353 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-22 11:17:44,204 INFO    MainThread:13353 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-22 11:17:44,204 INFO    MainThread:13353 [wandb_init.py:_log_setup():506] Logging user logs to /home/seuyon0101/aiffel/saturi/notebook/Model/wandb/run-20230322_111744-mgm190il/logs/debug.log
2023-03-22 11:17:44,204 INFO    MainThread:13353 [wandb_init.py:_log_setup():507] Logging internal logs to /home/seuyon0101/aiffel/saturi/notebook/Model/wandb/run-20230322_111744-mgm190il/logs/debug-internal.log
2023-03-22 11:17:44,204 INFO    MainThread:13353 [wandb_init.py:_jupyter_setup():452] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7fe02d5f83a0>
2023-03-22 11:17:44,205 INFO    MainThread:13353 [wandb_init.py:init():546] calling init triggers
2023-03-22 11:17:44,205 INFO    MainThread:13353 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'model_name': 'Vanilla_Transformer', 'n_layers': 6, 'd_model': 512, 'n_heads': 8, 'd_ff': 2048, 'src_vocab_size': 8009, 'tgt_vocab_size': 8009, 'pos_len': 512, 'dropout': 0.2, 'shared': True, 'warmups': 4000, 'epochs': 1, 'optimizer': 'ADAM', 'loss': 'SparseCategoricalCrossentropy', 'metric': 'bleu'}
2023-03-22 11:17:44,205 INFO    MainThread:13353 [wandb_init.py:init():602] starting backend
2023-03-22 11:17:44,205 INFO    MainThread:13353 [wandb_init.py:init():606] setting up manager
2023-03-22 11:17:44,208 INFO    MainThread:13353 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-22 11:17:44,210 INFO    MainThread:13353 [wandb_init.py:init():613] backend started and connected
2023-03-22 11:17:44,218 INFO    MainThread:13353 [wandb_run.py:_label_probe_notebook():1204] probe notebook
